iq,prev_sem_result,cgpa,academic_performance,internship_experience,extra_curricular_score,communication_skills,projects_completed,cgpa_bucket,has_internship,academic_score,skill_score
127,5.68,6.1,5,No,4,3,1,medium,0,5.272,8
99,7.44,7.02,4,No,9,9,4,medium,0,5.376,22
84,6.29,6.51,8,No,8,7,4,medium,0,7.316,19
112,8.77,9.01,3,Yes,1,9,4,high,1,5.308,14
81,8.61,9.11,9,Yes,8,7,4,high,1,8.844,19
103,5.7,5.97,8,Yes,2,9,2,low,1,7.08,13
70,9.39,9.27,8,No,4,3,4,high,0,8.556000000000001,11
80,5.9,5.96,10,Yes,6,7,1,low,1,8.36,14
102,8.99,8.86,5,No,1,6,1,high,0,6.596,8
111,7.28,6.98,1,No,3,2,3,medium,0,3.5120000000000005,8
102,6.64,6.39,10,No,0,6,5,medium,0,8.656,11
98,5.79,5.51,9,No,10,3,0,low,0,7.715999999999999,13
95,5.84,5.89,2,Yes,2,2,1,low,1,3.5359999999999996,5
77,8.31,8.72,1,Yes,5,5,1,high,1,3.9240000000000004,11
89,7.75,8.16,6,Yes,1,5,1,high,1,6.699999999999999,7
93,5.61,5.16,1,Yes,7,2,1,low,1,2.8440000000000003,10
115,5.56,5.14,10,Yes,6,3,0,low,1,8.224,9
105,5.36,5.11,10,No,2,8,0,low,0,8.144,10
73,8.72,8.48,10,Yes,0,5,5,high,1,9.488,10
104,8.56,8.15,7,No,9,8,4,high,0,7.6240000000000006,21
94,5.29,5.18,7,Yes,3,10,5,low,1,6.316000000000001,18
89,7.8,7.89,1,Yes,3,4,1,high,1,3.72,8
109,5.42,5.5,10,No,10,4,1,low,0,8.168,15
115,9.52,9.56,5,No,4,6,3,high,0,6.808,13
113,9.54,9.38,3,No,2,10,3,high,0,5.616,15
87,8.49,8.7,2,No,10,5,3,high,0,4.596,18
95,9.63,9.96,5,No,1,5,3,high,0,6.852,9
104,9.06,8.91,5,No,1,9,4,high,0,6.6240000000000006,14
114,9.14,8.73,2,Yes,7,6,2,high,1,4.856000000000001,15
92,7.85,7.65,6,No,6,3,3,high,0,6.74,12
97,6.53,6.17,7,No,0,4,3,medium,0,6.812,7
83,6.09,6.06,1,No,8,9,0,medium,0,3.036,17
82,6.64,6.3,3,No,2,6,5,medium,0,4.4559999999999995,13
112,8.14,8.1,4,No,2,8,1,high,0,5.656000000000001,11
120,5.86,5.58,2,No,0,7,4,low,0,3.5440000000000005,11
98,6.29,6.53,10,Yes,10,1,1,medium,1,8.516,12
115,7.34,6.87,5,Yes,3,1,2,medium,1,5.936,6
105,6.17,6.22,4,No,9,10,4,medium,0,4.868,23
90,7.94,7.61,2,No,10,7,2,high,0,4.376,19
105,9.62,9.12,1,Yes,1,2,1,high,1,4.4479999999999995,4
123,8.74,9.11,8,No,2,9,0,high,0,8.296,11
99,8.33,8.5,2,No,10,10,3,high,0,4.532,23
123,7.91,7.51,4,No,0,9,1,high,0,5.564,10
60,7.44,7.6,10,Yes,2,2,4,high,1,8.976,8
112,5.93,6.04,5,No,3,9,3,medium,0,5.372,15
101,9.47,9.44,2,No,5,9,4,high,0,4.988,18
95,6.24,6.16,10,No,2,10,2,medium,0,8.496,14
101,5.46,5.85,9,Yes,10,6,4,low,1,7.584,20
70,8.75,8.5,2,No,5,5,0,high,0,4.7,10
96,5.88,5.78,6,No,1,10,2,low,0,5.952,13
105,6.86,6.69,7,No,10,2,5,medium,0,6.944000000000001,17
122,5.14,5.41,6,No,7,6,5,low,0,5.656,18
92,5.69,6.11,4,No,4,9,1,medium,0,4.676,14
87,5.87,6.22,1,No,0,3,3,medium,0,2.9480000000000004,6
92,5.27,5.57,2,No,5,3,3,low,0,3.308,11
113,8.28,8.77,10,No,2,4,0,high,0,9.312,6
104,9.19,9.39,10,Yes,3,10,4,high,1,9.676,17
92,6.87,7.12,6,No,9,4,1,medium,0,6.348,14
107,9.37,9.85,8,Yes,7,1,5,high,1,8.548,13
101,6.07,5.58,3,Yes,7,2,4,low,1,4.228,13
114,6.63,6.76,7,No,10,6,5,medium,0,6.852,21
89,5.75,5.99,9,No,7,5,4,low,0,7.699999999999999,16
95,8.1,8.52,4,Yes,4,10,0,high,1,5.640000000000001,14
94,7.1,7.48,7,No,0,4,5,medium,0,7.04,9
78,8.07,8.41,7,No,8,10,2,high,0,7.428000000000001,20
104,8.81,9.26,10,No,10,9,5,high,0,9.524000000000001,24
103,7.73,7.77,9,Yes,8,2,2,high,1,8.492,12
100,8.14,7.65,3,No,7,8,0,high,0,5.056,15
96,9.68,9.19,1,Yes,10,4,0,high,1,4.4719999999999995,14
78,6.5,6.54,8,Yes,2,9,0,medium,1,7.4,11
93,6.8,6.74,4,No,5,4,4,medium,0,5.12,13
94,8.59,8.54,2,No,6,2,5,high,0,4.636,13
87,8.06,7.96,5,No,3,6,5,high,0,6.224,14
97,5.89,6.31,4,No,9,9,4,medium,0,4.756,22
106,6.88,6.74,1,Yes,6,7,1,medium,1,3.3520000000000003,14
128,7.34,7.7,7,No,8,1,0,high,0,7.136,9
102,7.1,7.5,4,No,5,9,4,medium,0,5.24,18
103,5.89,5.89,8,Yes,1,6,2,low,1,7.156,9
98,9.62,9.57,9,No,5,9,5,high,0,9.248,19
71,8.81,9.07,8,Yes,2,2,5,high,1,8.324,9
99,7.41,7.62,1,No,6,7,0,high,0,3.5640000000000005,13
100,8.4,8.23,8,Yes,2,8,2,high,1,8.16,12
136,9.49,9.09,5,No,7,8,3,high,0,6.796,18
97,5.68,5.44,1,Yes,10,5,1,low,1,2.872,16
104,6.25,5.88,9,Yes,10,7,3,low,1,7.8999999999999995,20
99,7.71,7.5,9,No,4,7,1,medium,0,8.484,12
82,9.0,8.76,7,No,2,3,0,high,0,7.800000000000001,5
117,5.18,5.32,7,No,0,2,5,low,0,6.272,7
111,9.92,10.37,1,No,4,5,1,,0,4.568,10
111,7.27,7.46,9,No,9,4,4,medium,0,8.308,17
86,6.8,7.23,1,Yes,9,8,2,medium,1,3.3200000000000003,19
121,6.46,6.74,7,No,10,5,5,medium,0,6.784000000000001,20
78,5.87,6.1,9,No,2,9,4,medium,0,7.747999999999999,15
108,8.96,8.87,9,No,3,7,0,high,0,8.984,10
132,9.78,9.6,5,No,9,1,3,high,0,6.912,13
85,7.07,7.42,6,No,3,2,2,medium,0,6.428,7
91,9.76,10.17,2,No,2,8,0,,0,5.104,10
101,9.12,9.07,2,No,5,10,4,high,0,4.848,19
92,7.41,6.92,10,No,5,8,4,medium,0,8.964,17
76,8.37,8.66,9,No,0,2,1,high,0,8.748,3
101,7.17,6.96,1,No,3,7,1,medium,0,3.4680000000000004,11
84,7.79,7.3,10,Yes,0,8,3,medium,1,9.116,11
107,5.29,5.59,5,Yes,6,4,1,low,1,5.116,11
86,8.48,8.5,7,No,6,3,1,high,0,7.5920000000000005,10
123,5.26,5.45,10,Yes,5,10,1,low,1,8.104,16
88,9.09,9.5,6,No,10,9,3,high,0,7.236,22
95,9.12,9.16,6,No,1,2,0,high,0,7.247999999999999,3
112,6.19,6.19,6,No,3,3,5,medium,0,6.0760000000000005,11
81,6.62,6.41,8,No,2,8,2,medium,0,7.448,12
103,7.41,7.22,7,Yes,10,2,0,medium,1,7.164000000000001,12
119,7.98,8.28,5,No,7,5,5,high,0,6.192,17
75,6.44,6.39,10,No,1,10,5,medium,0,8.576,16
102,7.96,7.62,2,Yes,9,8,0,high,1,4.384,17
103,6.49,6.08,10,No,1,7,0,medium,0,8.596,8
111,5.28,5.25,6,Yes,0,4,4,low,1,5.712,8
81,5.01,4.97,10,No,8,10,2,low,0,8.004,20
80,5.51,5.66,5,No,2,9,2,low,0,5.204000000000001,13
107,8.96,8.93,4,Yes,7,2,4,high,1,5.984,13
104,9.81,9.45,10,No,6,7,5,high,0,9.924,18
103,7.13,7.14,5,No,0,7,4,medium,0,5.852,11
105,7.56,7.97,9,No,10,7,5,high,0,8.424,22
89,5.73,5.39,2,Yes,5,7,1,low,1,3.492,13
103,7.76,7.95,6,No,7,5,4,high,0,6.704,16
104,5.72,5.81,9,No,5,1,3,low,0,7.687999999999999,9
89,8.06,8.31,10,No,8,4,4,high,0,9.224,16
127,9.67,9.32,5,Yes,9,5,1,high,1,6.868,15
107,5.98,6.42,6,No,2,10,4,medium,0,5.992,16
82,8.82,8.94,10,No,5,4,3,high,0,9.528,12
109,5.12,5.47,4,Yes,9,7,4,low,1,4.448,20
85,6.88,6.63,5,No,3,2,5,medium,0,5.752000000000001,10
111,5.55,5.79,8,No,9,2,0,low,0,7.02,11
117,6.76,7.04,1,Yes,2,2,2,medium,1,3.3040000000000003,6
87,5.87,5.77,1,Yes,7,10,3,low,1,2.9480000000000004,20
114,6.87,6.75,10,Yes,6,3,3,medium,1,8.748000000000001,12
106,7.09,7.25,4,Yes,6,5,3,medium,1,5.236000000000001,14
112,6.5,6.09,10,Yes,4,10,5,medium,1,8.6,19
128,8.28,8.52,3,Yes,0,9,0,high,1,5.112,9
96,9.59,9.13,5,Yes,5,3,0,high,1,6.836,8
88,7.0,6.69,10,Yes,5,6,2,medium,1,8.8,13
86,5.96,6.12,8,Yes,2,6,1,medium,1,7.183999999999999,9
87,6.35,5.95,1,No,4,6,2,low,0,3.14,12
98,9.27,9.74,5,No,8,5,3,high,0,6.708,16
105,7.86,8.23,5,No,6,2,3,high,0,6.144,11
104,7.28,7.41,2,Yes,7,1,3,medium,1,4.112,11
112,5.75,6.07,5,Yes,8,5,2,medium,1,5.300000000000001,15
100,7.25,7.64,8,Yes,5,8,1,high,1,7.7,14
121,6.39,6.15,10,Yes,4,10,1,medium,1,8.556000000000001,15
96,9.72,10.07,7,No,9,5,2,,0,8.088000000000001,16
140,9.42,9.11,2,No,4,3,5,high,0,4.968,12
109,5.42,5.33,6,Yes,4,3,3,low,1,5.768,10
87,7.58,7.64,10,No,3,2,2,high,0,9.032,7
83,6.13,6.34,1,No,1,7,2,medium,0,3.052,10
107,7.05,6.58,10,No,6,2,4,medium,0,8.82,12
96,9.38,9.17,10,Yes,6,6,4,high,1,9.752,16
110,7.64,7.75,3,Yes,7,8,0,high,1,4.856,15
107,6.67,6.53,6,No,7,8,0,medium,0,6.268,15
98,6.04,6.32,9,Yes,10,2,2,medium,1,7.816,14
87,9.0,9.15,1,No,7,6,4,high,0,4.2,17
77,8.12,7.85,6,Yes,8,3,3,high,1,6.847999999999999,14
93,7.34,6.99,2,Yes,5,9,0,medium,1,4.136,14
112,6.09,6.22,9,Yes,3,3,3,medium,1,7.835999999999999,9
103,6.67,6.62,2,Yes,1,1,3,medium,1,3.8680000000000003,5
81,9.8,9.47,3,No,4,9,0,high,0,5.720000000000001,13
102,7.6,7.43,2,Yes,5,8,5,medium,1,4.24,18
105,7.0,6.8,4,Yes,6,2,2,medium,1,5.2,10
86,7.61,7.22,4,No,5,10,4,medium,0,5.444000000000001,19
102,8.89,8.94,10,Yes,3,10,0,high,1,9.556000000000001,13
100,6.7,6.96,1,Yes,3,3,1,medium,1,3.2800000000000002,7
82,5.89,5.97,8,Yes,6,7,1,low,1,7.156,14
105,7.92,8.25,5,Yes,0,6,3,high,1,6.168,9
108,8.33,7.96,8,No,2,8,1,high,0,8.132,11
116,8.56,8.5,6,Yes,9,10,3,high,1,7.024,22
115,9.41,9.52,2,No,1,5,5,high,0,4.964,11
79,6.86,7.04,7,No,1,5,5,medium,0,6.944000000000001,11
85,5.38,5.58,10,No,6,2,5,low,0,8.152000000000001,13
107,9.79,10.02,9,No,4,6,5,,0,9.315999999999999,15
107,7.18,7.33,7,Yes,2,5,5,medium,1,7.072,12
107,8.12,7.71,5,No,8,9,4,high,0,6.247999999999999,21
157,8.33,8.53,4,No,8,3,0,high,0,5.732,11
108,7.73,7.95,8,No,2,5,0,high,0,7.892,7
117,6.03,6.52,6,No,1,3,4,medium,0,6.0120000000000005,8
114,8.78,8.97,5,Yes,2,9,3,high,1,6.5120000000000005,14
109,9.02,9.21,7,Yes,8,9,5,high,1,7.808,22
95,7.76,7.77,3,Yes,7,10,2,high,1,4.904,19
111,7.44,7.81,9,No,2,7,1,high,0,8.376,10
88,5.57,6.07,4,No,3,1,5,medium,0,4.628,9
96,5.42,5.7,4,No,4,9,4,low,0,4.568,17
92,6.7,6.81,8,No,3,9,1,medium,0,7.48,13
101,6.55,6.13,6,Yes,10,10,2,medium,1,6.22,22
134,9.77,10.0,1,Yes,1,5,3,high,1,4.508,9
71,8.92,9.13,2,No,10,2,5,high,0,4.768,17
110,8.3,8.58,9,No,8,1,1,high,0,8.719999999999999,10
75,7.59,7.21,6,No,1,2,3,medium,0,6.635999999999999,6
92,5.84,5.99,7,Yes,4,4,5,low,1,6.536,13
116,9.89,9.69,9,No,10,4,2,high,0,9.356,16
100,6.88,7.14,3,Yes,8,1,3,medium,1,4.552,12
83,5.53,5.27,5,Yes,7,8,2,low,1,5.212,17
89,7.47,7.65,5,Yes,0,10,0,high,1,5.9879999999999995,10
110,9.37,9.16,10,No,2,8,1,high,0,9.748,11
89,9.44,8.95,7,Yes,9,8,1,high,1,7.976,18
103,5.05,5.18,2,Yes,8,5,2,low,1,3.2199999999999998,15
100,9.43,9.04,4,No,2,10,2,high,0,6.172000000000001,14
90,6.36,6.52,4,No,10,2,4,medium,0,4.944000000000001,16
132,5.19,5.62,8,Yes,3,4,2,low,1,6.8759999999999994,9
109,9.24,9.71,10,Yes,2,1,2,high,1,9.696,5
69,9.32,9.06,3,No,6,10,3,high,0,5.5280000000000005,19
102,7.98,8.29,2,No,8,1,3,high,0,4.392,12
90,7.87,7.72,9,No,3,10,1,high,0,8.548,14
112,9.07,9.47,4,No,8,3,3,high,0,6.0280000000000005,14
88,8.93,9.22,9,Yes,1,4,3,high,1,8.972,8
98,9.45,9.02,6,No,1,3,1,high,0,7.379999999999999,5
107,7.76,7.67,1,No,8,3,5,high,0,3.704,16
112,9.84,9.68,3,No,6,8,0,high,0,5.736,14
81,9.98,10.27,7,No,4,4,4,,0,8.192,12
94,5.58,5.49,9,Yes,4,3,3,low,1,7.632,10
92,9.25,9.43,8,Yes,8,9,0,high,1,8.5,17
90,7.5,7.6,5,Yes,10,1,4,high,1,6.0,15
126,6.94,7.42,8,Yes,3,8,1,medium,1,7.5760000000000005,12
106,8.07,8.51,2,No,10,5,3,high,0,4.428,18
81,5.28,5.21,3,No,0,8,5,low,0,3.912,13
113,7.53,7.75,8,No,5,10,3,high,0,7.812,18
131,9.35,9.68,9,Yes,2,3,2,high,1,9.14,7
115,6.07,6.47,10,No,1,6,3,medium,0,8.428,10
77,7.13,6.7,8,Yes,3,7,3,medium,1,7.652,13
92,9.7,9.5,4,Yes,8,8,0,high,1,6.279999999999999,16
119,7.14,6.96,6,No,7,7,0,medium,0,6.4559999999999995,14
89,6.79,6.72,5,Yes,6,7,3,medium,1,5.716,16
106,7.2,6.87,4,No,1,2,5,medium,0,5.28,8
111,7.6,7.6,9,Yes,0,3,4,high,1,8.44,7
86,8.16,8.32,10,No,6,6,1,high,0,9.264,13
99,9.0,9.0,3,No,9,3,5,high,0,5.4,17
51,7.26,7.43,1,No,4,9,0,medium,0,3.504,13
84,9.09,8.66,7,No,10,9,5,high,0,7.836,24
96,7.67,8.05,10,Yes,7,6,5,high,1,9.068,18
81,6.69,7.13,8,Yes,4,1,4,medium,1,7.476,9
124,8.29,8.41,3,No,9,1,5,high,0,5.116,15
78,8.59,8.97,3,No,4,4,3,high,0,5.236,11
93,7.79,7.42,6,No,7,10,2,medium,0,6.715999999999999,19
101,5.28,5.58,2,No,8,8,0,low,0,3.3120000000000003,16
121,5.85,5.47,6,No,1,3,5,low,0,5.9399999999999995,9
78,6.43,6.34,5,No,7,4,0,medium,0,5.572,11
117,6.41,6.23,7,No,6,6,2,medium,0,6.764,14
100,8.37,8.46,9,No,7,9,3,high,0,8.748,19
85,5.09,4.89,9,No,2,4,0,low,0,7.436,6
106,8.78,8.92,1,No,3,3,3,high,0,4.112,9
102,6.33,6.2,7,No,6,10,4,medium,0,6.732,20
90,6.55,6.91,3,No,4,10,0,medium,0,4.42,14
101,7.64,7.77,4,Yes,6,9,3,high,1,5.4559999999999995,18
94,6.08,5.8,2,Yes,5,7,4,low,1,3.6320000000000006,16
101,9.42,9.26,1,No,3,9,5,high,0,4.368,17
109,5.43,5.78,10,Yes,1,10,0,low,1,8.172,11
123,7.22,7.11,3,Yes,5,6,1,medium,1,4.688,12
81,9.25,9.29,10,No,5,4,3,high,0,9.7,12
131,8.08,8.23,9,No,5,5,4,high,0,8.632,14
70,6.46,6.31,1,Yes,0,10,5,medium,1,3.184,15
97,7.1,6.89,3,No,5,2,1,medium,0,4.64,8
108,8.53,8.51,5,Yes,1,3,3,high,1,6.412,7
104,9.87,9.58,3,No,9,5,0,high,0,5.747999999999999,14
90,9.47,9.25,4,No,4,3,5,high,0,6.188000000000001,12
96,6.71,6.27,4,No,6,3,3,medium,0,5.084,12
92,9.99,9.79,1,Yes,9,9,4,high,1,4.596,22
91,5.02,4.84,6,Yes,0,4,0,low,1,5.608,4
112,5.14,5.6,7,Yes,4,4,0,low,1,6.256,8
105,9.12,9.21,7,Yes,8,1,5,high,1,7.848,14
89,6.0,6.29,6,No,2,7,0,medium,0,6.0,9
113,5.3,4.85,7,No,1,10,2,low,0,6.32,13
104,6.19,5.8,3,Yes,9,9,4,low,1,4.276,22
112,7.13,7.44,5,Yes,1,8,1,medium,1,5.852,10
109,8.65,8.77,7,Yes,2,2,0,high,1,7.66,4
87,8.12,7.81,10,No,0,6,4,high,0,9.248,10
91,6.19,6.09,5,Yes,1,10,2,medium,1,5.476000000000001,13
111,7.52,7.56,10,Yes,5,10,2,high,1,9.008,17
109,9.63,9.97,2,Yes,7,5,5,high,1,5.0520000000000005,17
99,9.08,8.64,6,No,3,8,0,high,0,7.231999999999999,11
101,6.62,6.72,7,Yes,1,1,4,medium,1,6.848000000000001,6
119,9.91,10.13,2,No,4,9,2,,0,5.164000000000001,15
91,8.54,9.02,10,No,2,9,0,high,0,9.416,11
108,5.31,5.62,8,Yes,4,7,5,low,1,6.9239999999999995,16
96,5.18,4.96,5,Yes,2,8,3,low,1,5.072,13
96,5.84,6.05,8,No,10,9,3,medium,0,7.135999999999999,22
116,8.64,8.9,3,No,3,5,3,high,0,5.256,11
112,5.92,6.15,2,Yes,4,2,1,medium,1,3.5679999999999996,7
112,7.56,7.88,7,Yes,6,1,4,high,1,7.224,11
119,5.47,5.87,5,Yes,1,5,5,low,1,5.188000000000001,11
100,9.6,9.2,5,No,5,8,3,high,0,6.84,16
110,6.72,6.32,8,No,5,10,2,medium,0,7.4879999999999995,17
95,9.54,9.84,9,No,5,4,1,high,0,9.216,10
104,9.72,9.47,8,Yes,6,4,3,high,1,8.688,13
98,5.03,4.59,10,No,10,4,0,low,0,8.012,14
101,7.32,7.22,2,No,2,8,2,medium,0,4.128,12
108,5.12,5.44,10,Yes,4,7,1,low,1,8.048,12
87,9.54,9.17,7,No,8,1,1,high,0,8.016,10
131,7.59,7.76,5,No,8,10,2,high,0,6.036,20
84,5.37,4.87,7,Yes,6,6,3,low,1,6.348000000000001,15
81,5.55,5.16,3,Yes,8,4,5,low,1,4.02,17
117,6.92,6.77,4,Yes,2,2,5,medium,1,5.168,9
111,9.7,9.28,7,No,6,3,0,high,0,8.08,9
109,8.46,8.81,2,No,0,4,0,high,0,4.5840000000000005,4
109,9.34,9.7,2,No,6,10,5,high,0,4.936,21
99,6.83,7.09,1,Yes,2,7,5,medium,1,3.3320000000000003,14
86,5.22,4.96,1,No,2,1,0,low,0,2.688,3
101,9.87,9.89,1,Yes,6,1,1,high,1,4.548,8
89,5.09,4.77,6,Yes,7,3,3,low,1,5.635999999999999,13
114,9.74,9.52,5,Yes,3,2,5,high,1,6.896000000000001,10
97,6.84,6.86,10,Yes,0,3,5,medium,1,8.736,8
87,5.05,5.29,8,No,4,3,2,low,0,6.82,9
95,8.45,8.04,5,Yes,9,1,4,high,1,6.38,14
106,9.9,9.7,1,Yes,3,6,0,high,1,4.5600000000000005,9
91,9.83,10.26,8,No,8,8,2,,0,8.732,18
87,5.8,5.73,6,No,2,5,5,low,0,5.92,12
103,5.91,6.35,8,Yes,3,1,5,medium,1,7.164,9
103,7.83,8.32,2,Yes,9,10,2,high,1,4.332,21
92,8.19,8.22,10,Yes,2,7,5,high,1,9.276,14
92,8.7,8.49,8,No,2,10,0,high,0,8.28,12
103,5.91,6.2,6,No,6,9,4,medium,0,5.964,19
78,9.8,9.46,1,No,4,7,1,high,0,4.5200000000000005,12
78,8.19,7.94,1,Yes,4,9,1,high,1,3.876,14
89,9.24,9.52,10,No,3,10,3,high,0,9.696,16
96,7.7,7.63,5,No,9,9,5,high,0,6.08,23
104,7.07,6.77,7,Yes,7,2,1,medium,1,7.0280000000000005,10
122,9.89,10.04,4,No,0,8,2,,0,6.356,10
112,7.91,8.14,10,No,10,7,1,high,0,9.164,18
97,9.33,8.96,5,No,8,7,3,high,0,6.732,18
99,9.77,9.55,10,No,10,2,2,high,0,9.908,14
84,8.38,8.1,3,No,8,1,2,high,0,5.152,11
99,7.74,7.62,2,No,10,4,4,high,0,4.296,18
95,5.02,5.28,2,No,4,7,5,low,0,3.208,16
104,5.2,5.41,5,No,0,6,0,low,0,5.08,6
87,6.0,6.16,4,Yes,1,10,0,medium,1,4.800000000000001,11
107,5.93,5.44,2,No,1,2,0,low,0,3.572,3
122,6.27,5.91,5,Yes,5,7,3,low,1,5.508,15
98,6.52,6.24,10,Yes,9,10,1,medium,1,8.608,20
106,6.8,6.57,9,No,8,9,0,medium,0,8.12,17
110,7.1,6.75,8,No,2,2,1,medium,0,7.64,5
93,5.49,5.4,9,No,7,10,0,low,0,7.596,17
103,5.21,4.79,9,No,1,5,4,low,0,7.484,10
100,8.37,8.62,8,No,4,2,1,high,0,8.148,7
101,7.69,7.98,9,No,3,1,3,high,0,8.475999999999999,7
88,7.22,7.29,4,No,4,7,5,medium,0,5.288,16
100,8.17,7.76,8,Yes,3,2,5,high,1,8.068,10
107,9.14,9.53,2,No,0,6,3,high,0,4.856000000000001,9
121,7.14,7.61,9,No,0,7,1,high,0,8.256,8
114,8.21,7.91,9,No,5,1,5,high,0,8.684000000000001,11
132,9.77,9.97,3,No,7,9,3,high,0,5.708,19
88,9.2,9.54,6,No,6,6,2,high,0,7.279999999999999,14
113,7.13,7.17,7,Yes,3,2,3,medium,1,7.0520000000000005,8
102,8.22,8.04,3,Yes,4,1,4,high,1,5.088,9
132,5.89,5.87,5,No,7,1,4,low,0,5.356,12
87,7.8,7.81,1,No,5,2,1,high,0,3.72,8
87,9.91,9.81,3,Yes,7,9,3,high,1,5.764,19
91,7.59,8.02,8,No,5,2,1,high,0,7.836,8
68,9.64,9.88,3,No,7,1,0,high,0,5.656000000000001,8
92,7.04,6.78,8,Yes,3,4,2,medium,1,7.616,9
88,9.99,10.08,9,No,9,9,1,,0,9.396,19
102,7.9,8.09,6,Yes,1,8,1,high,1,6.76,10
105,5.21,4.85,7,No,2,7,1,low,0,6.284000000000001,10
128,7.93,7.79,6,No,4,8,5,high,0,6.772,17
114,6.37,6.78,8,No,3,2,1,medium,0,7.348,6
91,5.16,5.23,7,No,4,5,5,low,0,6.264,14
86,9.1,8.82,10,No,0,7,4,high,0,9.64,11
107,6.38,6.0,1,No,0,1,2,low,0,3.152,3
80,8.98,9.0,3,Yes,1,6,0,high,1,5.392,7
127,6.44,6.49,3,No,10,7,2,medium,0,4.376,19
117,5.97,5.8,3,No,1,8,1,low,0,4.188,10
92,9.87,10.0,4,Yes,7,5,4,high,1,6.348,16
74,6.81,6.38,1,No,9,8,0,medium,0,3.3240000000000003,17
120,8.01,7.66,2,Yes,3,10,5,high,1,4.404,18
98,8.05,8.1,5,No,5,1,1,high,0,6.220000000000001,7
118,7.8,7.36,6,Yes,1,4,5,medium,1,6.72,10
76,9.57,9.95,9,Yes,0,6,1,high,1,9.228,7
91,8.37,8.01,2,No,6,4,3,high,0,4.548,13
100,7.02,7.19,9,No,3,5,2,medium,0,8.207999999999998,10
100,9.31,9.2,7,No,3,2,2,high,0,7.924,7
93,5.91,5.81,9,No,1,7,2,low,0,7.763999999999999,10
109,7.72,7.98,4,Yes,8,9,3,high,1,5.4879999999999995,20
83,9.75,9.75,7,Yes,1,7,4,high,1,8.100000000000001,12
97,8.13,8.36,1,Yes,4,1,4,high,1,3.8520000000000008,9
101,9.08,9.09,8,No,5,2,4,high,0,8.432,11
107,8.27,8.36,7,Yes,2,8,5,high,1,7.508,15
110,9.2,9.46,7,No,10,1,0,high,0,7.88,11
83,9.72,9.83,2,Yes,2,2,3,high,1,5.088,7
76,6.36,6.48,10,Yes,5,5,3,medium,1,8.544,13
119,5.85,6.14,9,Yes,4,6,4,medium,1,7.739999999999999,14
104,7.42,7.87,8,No,4,1,4,high,0,7.768,9
88,8.51,8.39,1,Yes,4,1,4,high,1,4.004,9
123,6.14,6.22,1,Yes,8,2,3,medium,1,3.056,13
101,5.02,4.61,5,No,7,3,4,low,0,5.008,14
117,6.71,6.57,2,Yes,3,9,2,medium,1,3.8840000000000003,14
101,9.84,9.75,1,No,5,3,4,high,0,4.536,12
130,8.47,8.81,10,No,4,8,2,high,0,9.388,14
126,7.01,7.02,8,Yes,10,6,1,medium,1,7.604,17
96,5.96,6.19,4,No,5,10,1,medium,0,4.784,16
114,6.78,6.3,2,No,10,5,3,medium,0,3.912,18
109,5.85,5.81,5,No,7,9,0,low,0,5.34,16
120,5.53,5.93,6,Yes,5,8,5,low,1,5.811999999999999,18
85,9.53,9.25,8,Yes,5,3,1,high,1,8.612,9
