studentid,cgpa,internships,projects,workshops/certifications,aptitudetestscore,softskillsrating,extracurricularactivities,placementtraining,ssc_marks,hsc_marks,placementstatus
45,7.4,1,3,0,86,4.8,No,Yes,70,73,
46,6.7,1,1,2,73,4.5,No,No,55,66,1.0
47,6.9,1,1,1,76,4.4,No,No,55,65,
48,7.0,1,1,0,62,4.3,No,Yes,59,67,
49,8.1,1,3,2,90,4.6,Yes,Yes,77,87,1.0
50,7.7,1,2,0,74,3.8,Yes,No,55,66,
51,6.5,0,2,1,77,4.8,No,Yes,56,65,
52,8.2,1,3,0,65,4.1,Yes,No,66,65,
53,8.1,2,3,2,90,4.7,Yes,Yes,82,82,1.0
54,6.5,1,2,1,80,4.5,Yes,Yes,72,67,
55,6.5,0,2,1,72,4.5,No,No,57,69,
56,8.8,2,3,2,90,4.8,Yes,Yes,86,88,1.0
57,8.0,1,1,0,74,4.5,Yes,Yes,55,65,
58,8.4,2,2,2,81,4.6,Yes,Yes,77,82,1.0
59,8.0,1,1,0,86,4.2,No,No,55,83,
60,6.6,0,1,0,76,3.9,No,Yes,78,69,1.0
61,7.7,2,2,0,86,4.0,Yes,Yes,79,64,
62,8.2,1,2,1,86,4.3,Yes,Yes,86,63,1.0
63,7.2,1,2,0,74,4.1,No,No,70,65,
64,6.6,1,2,1,72,4.1,No,No,55,75,
65,7.6,1,2,0,77,4.6,Yes,No,84,67,
66,8.0,0,3,0,68,4.2,Yes,No,64,83,1.0
67,7.8,2,3,2,87,4.8,Yes,No,90,83,
68,7.2,1,1,0,82,4.6,Yes,Yes,57,64,
69,7.7,1,1,0,74,4.1,No,Yes,57,68,1.0
70,8.4,1,1,2,67,3.8,Yes,Yes,76,69,
71,7.5,1,1,1,69,4.3,No,Yes,71,76,
72,6.7,0,2,1,79,4.1,No,No,78,67,
73,8.1,2,3,2,90,4.8,Yes,Yes,80,86,1.0
74,7.5,1,2,0,73,4.4,No,No,66,84,
75,7.4,2,1,0,75,4.2,No,Yes,65,84,
76,6.5,1,1,0,63,4.5,No,Yes,57,68,
77,8.1,1,3,1,90,4.6,Yes,Yes,73,86,1.0
78,6.9,1,1,0,83,3.5,No,Yes,61,71,
79,8.2,1,3,0,83,4.8,Yes,Yes,71,84,1.0
80,7.6,1,2,1,72,3.9,No,Yes,58,66,
81,6.6,1,1,1,69,3.6,No,Yes,55,72,
82,6.7,1,2,1,74,4.8,Yes,Yes,72,64,1.0
83,8.2,2,3,2,76,4.5,Yes,Yes,73,82,
84,8.3,2,3,1,90,4.2,Yes,Yes,82,83,1.0
85,7.6,0,2,0,86,4.8,Yes,Yes,57,72,1.0
86,6.7,1,3,0,87,4.6,Yes,No,81,69,
87,8.1,0,2,1,84,3.8,No,No,71,68,
88,8.5,1,2,2,79,3.9,Yes,Yes,76,66,1.0
89,8.8,1,3,0,76,4.7,Yes,Yes,75,84,1.0
90,7.2,1,2,0,68,4.2,Yes,Yes,57,66,
91,7.6,1,1,0,80,4.5,Yes,Yes,66,67,
92,7.1,1,1,0,70,3.3,No,No,55,66,
93,8.1,1,3,2,89,4.6,Yes,Yes,86,80,1.0
94,7.4,1,3,0,83,4.2,No,Yes,65,82,
95,7.7,2,2,2,85,4.8,Yes,Yes,74,83,
96,7.5,0,1,1,75,3.3,No,Yes,61,73,
97,7.5,1,1,0,64,4.0,No,No,73,66,
98,7.8,2,2,2,90,4.8,Yes,No,81,82,1.0
99,7.7,1,3,1,89,4.6,No,Yes,61,84,1.0
100,7.9,0,1,2,83,4.8,Yes,No,58,81,
101,7.4,1,2,1,63,3.9,No,No,55,67,
102,7.3,1,1,0,80,4.7,No,Yes,64,65,
103,6.5,1,1,1,62,3.8,No,Yes,58,65,
104,7.5,2,1,1,76,4.2,Yes,Yes,57,80,
105,6.5,1,1,0,68,4.1,No,No,61,66,
106,8.5,2,3,2,90,4.8,Yes,Yes,72,87,1.0
107,6.7,0,1,1,74,3.9,No,No,55,70,
108,6.5,0,1,0,82,4.4,No,No,65,69,
109,8.1,1,3,2,90,4.8,Yes,Yes,79,84,1.0
110,8.7,2,3,2,90,4.8,Yes,Yes,79,85,1.0
111,8.0,1,1,3,84,4.0,No,Yes,57,61,
112,7.3,1,3,1,81,4.2,Yes,Yes,69,65,
113,7.4,1,1,1,81,4.1,Yes,No,55,62,
114,8.6,2,3,0,81,4.7,Yes,No,71,83,1.0
115,6.7,2,1,2,76,4.8,Yes,No,55,78,
116,7.6,1,1,1,67,3.5,No,No,55,67,
117,8.8,1,3,2,90,4.6,Yes,Yes,83,83,1.0
118,6.5,1,2,0,65,4.4,No,Yes,61,68,
119,6.5,1,2,1,78,4.2,No,No,62,62,
120,7.4,1,2,1,75,4.2,No,Yes,55,74,
121,8.7,2,3,2,81,4.7,Yes,Yes,85,79,1.0
122,8.0,1,1,1,68,4.2,No,Yes,59,66,
123,7.7,1,3,2,90,4.8,Yes,No,80,85,1.0
124,7.3,1,1,0,64,3.2,No,Yes,58,67,
125,8.4,2,1,2,76,4.1,No,No,56,63,
126,7.7,1,2,0,73,4.0,No,Yes,65,75,1.0
127,7.5,1,1,1,68,4.7,No,No,58,64,
128,7.4,0,1,0,79,4.3,No,No,63,73,
129,7.4,1,1,1,64,4.3,No,Yes,73,73,
130,8.5,1,2,2,90,4.8,Yes,Yes,80,86,1.0
131,8.0,1,3,0,80,4.4,Yes,Yes,85,84,1.0
132,6.5,1,1,1,72,3.8,No,No,64,67,
133,8.4,1,1,0,81,4.6,Yes,No,78,82,1.0
134,8.7,0,3,2,88,4.8,No,No,87,84,
135,8.0,0,1,0,60,4.0,No,No,57,70,
136,8.4,2,3,1,88,4.6,Yes,Yes,74,82,
137,8.2,2,3,2,90,4.4,Yes,Yes,90,81,1.0
138,8.1,2,2,2,90,4.5,Yes,Yes,73,82,1.0
139,7.9,1,3,1,75,3.7,No,Yes,62,65,
140,8.9,2,3,2,90,4.8,Yes,Yes,69,85,1.0
141,6.5,1,1,1,72,4.5,No,No,66,70,
142,7.6,1,1,0,73,4.3,No,Yes,55,76,1.0
143,8.4,1,3,2,90,4.6,Yes,Yes,67,80,1.0
144,7.8,2,3,0,77,4.8,Yes,Yes,79,87,
145,8.4,1,2,1,74,4.3,Yes,Yes,59,80,1.0
146,7.6,1,2,0,74,3.7,No,Yes,58,74,1.0
147,7.9,1,1,1,62,4.6,Yes,Yes,87,82,
148,7.9,1,3,1,80,4.2,Yes,Yes,56,82,1.0
149,8.0,2,1,2,90,4.8,Yes,Yes,74,81,
150,7.9,2,1,0,83,4.0,Yes,Yes,63,70,
151,8.4,2,3,2,90,4.8,Yes,Yes,90,85,1.0
152,8.6,0,3,2,90,4.8,Yes,Yes,73,78,1.0
153,7.8,0,1,0,81,3.9,Yes,Yes,79,65,1.0
154,8.1,2,3,3,90,4.8,Yes,Yes,80,83,1.0
155,7.2,1,3,1,75,4.2,Yes,Yes,64,84,
156,7.7,0,1,0,81,4.8,Yes,Yes,69,63,1.0
157,8.4,1,3,2,90,4.5,Yes,Yes,79,86,1.0
158,8.0,1,3,1,87,4.6,Yes,Yes,72,83,
159,7.8,0,1,1,72,4.0,No,No,61,69,
160,6.5,1,1,0,63,3.5,No,No,56,64,
161,6.5,0,3,0,71,3.6,No,Yes,57,74,
162,7.9,1,2,1,81,4.0,Yes,Yes,60,71,
163,6.7,1,1,0,75,4.2,No,No,56,64,
164,6.9,0,1,0,73,4.1,No,Yes,55,69,1.0
165,6.5,1,1,2,85,4.3,Yes,No,62,72,1.0
166,6.5,0,1,1,79,3.9,No,No,55,66,
167,7.3,1,1,1,71,3.6,No,No,65,64,
168,8.3,2,3,0,71,4.6,Yes,Yes,77,82,1.0
169,7.5,1,1,1,74,3.9,No,No,63,65,
170,8.0,2,3,3,76,4.1,Yes,Yes,78,61,
171,8.3,1,2,1,69,3.8,No,Yes,76,71,
172,6.6,0,3,0,87,4.5,No,No,80,82,
173,7.4,0,3,0,90,4.6,No,No,65,70,
174,8.0,1,1,1,78,4.4,No,No,66,68,
175,8.0,2,3,2,90,4.8,Yes,Yes,78,86,1.0
176,6.7,1,2,0,73,4.5,No,Yes,55,65,
177,8.3,1,2,3,78,3.8,Yes,No,67,65,
178,8.5,1,3,2,90,4.8,Yes,Yes,61,86,1.0
179,7.5,2,1,2,90,4.8,Yes,No,55,65,
180,7.4,1,1,0,60,3.4,No,No,58,62,
181,8.4,0,1,2,88,4.8,Yes,Yes,74,82,1.0
182,8.2,1,3,0,82,4.8,Yes,Yes,70,73,1.0
183,6.5,1,1,0,74,4.2,No,Yes,74,61,
184,7.7,1,1,0,71,4.7,No,Yes,57,69,
185,7.3,1,2,2,67,4.5,No,No,63,66,
186,6.5,0,1,0,78,3.7,Yes,Yes,75,69,
187,6.5,1,1,1,68,4.1,No,No,55,65,
188,7.5,1,1,0,76,4.3,No,Yes,73,79,
189,7.8,1,1,1,65,3.9,No,No,55,70,
190,6.8,1,1,0,78,4.3,No,No,61,62,
191,8.4,2,3,2,90,4.1,Yes,Yes,76,82,1.0
192,7.8,2,2,2,80,4.6,No,Yes,59,74,1.0
193,7.5,1,2,0,77,4.2,Yes,Yes,58,63,
194,8.9,0,1,2,80,4.8,Yes,Yes,75,82,1.0
195,6.5,0,1,0,75,3.7,No,No,58,62,
196,8.4,1,1,2,87,4.1,No,No,78,70,
197,8.1,0,1,0,71,3.6,Yes,No,69,67,
198,8.5,2,3,0,86,4.2,Yes,Yes,60,85,1.0
199,7.6,1,1,1,82,4.8,Yes,Yes,79,86,1.0
200,7.8,2,3,0,79,4.3,Yes,No,87,87,
201,8.6,1,3,2,90,4.7,Yes,Yes,68,84,1.0
202,7.9,2,3,2,76,4.6,Yes,Yes,79,82,1.0
203,6.5,0,2,2,75,4.5,Yes,No,65,59,
204,8.2,0,2,1,82,4.5,Yes,Yes,78,87,1.0
205,8.2,1,1,0,81,4.3,Yes,Yes,60,70,1.0
206,7.6,1,1,0,64,4.1,No,No,69,67,
207,7.3,1,2,1,84,4.6,No,Yes,55,72,
208,8.4,2,3,2,90,4.5,Yes,Yes,85,79,1.0
209,8.3,2,3,3,90,4.5,Yes,Yes,70,88,1.0
210,7.8,1,3,0,88,4.8,Yes,Yes,70,78,1.0
211,8.3,1,2,1,82,4.7,Yes,Yes,77,84,
212,7.5,1,1,1,69,4.1,No,No,55,75,
213,8.6,2,3,2,78,4.8,Yes,Yes,82,81,
214,7.8,2,2,2,77,4.2,Yes,No,57,69,
215,6.6,1,1,1,71,4.3,No,No,70,66,
216,7.4,0,1,1,70,4.2,No,No,61,70,
217,6.9,1,2,1,74,4.1,No,No,55,69,
218,6.6,1,1,0,77,4.5,No,No,62,70,
219,8.3,1,2,2,88,4.1,Yes,Yes,80,79,1.0
220,7.9,2,2,2,88,4.8,Yes,Yes,81,85,1.0
221,6.6,1,2,1,76,4.1,Yes,Yes,82,69,
222,8.0,2,3,2,86,4.8,Yes,Yes,62,83,1.0
223,7.5,1,2,0,86,3.8,No,No,55,68,
224,7.9,2,3,2,90,4.8,Yes,No,81,78,
225,8.3,1,3,2,78,3.9,Yes,Yes,60,61,1.0
226,7.4,1,1,0,74,3.5,No,Yes,67,62,
227,8.0,2,2,2,87,3.8,Yes,Yes,79,78,1.0
228,8.7,2,3,2,87,4.7,Yes,Yes,80,84,1.0
229,7.4,1,2,0,77,4.5,No,Yes,66,86,
230,7.9,2,3,2,90,4.8,Yes,Yes,83,88,1.0
231,7.5,1,1,1,70,4.6,No,No,59,66,
232,7.4,2,1,1,87,4.5,Yes,Yes,68,84,
233,7.7,0,1,1,69,4.8,Yes,Yes,78,65,
234,7.8,0,1,1,70,3.8,No,Yes,73,73,
235,7.5,2,3,0,88,4.6,Yes,Yes,79,83,
236,8.2,2,3,1,69,4.0,Yes,Yes,77,82,
237,7.8,1,3,2,75,4.3,Yes,Yes,77,86,
238,7.6,1,1,0,72,4.6,Yes,Yes,68,84,
239,8.5,2,3,2,90,4.8,Yes,Yes,80,79,1.0
240,6.7,0,1,1,71,4.7,No,Yes,76,70,
241,7.6,1,3,0,82,4.5,No,Yes,56,72,
242,7.6,0,2,0,80,3.7,Yes,No,85,61,
243,7.3,1,2,0,71,4.4,No,Yes,58,67,
244,8.1,1,2,1,78,3.5,No,Yes,71,70,
245,7.6,2,3,0,88,4.4,No,Yes,80,68,1.0
246,7.4,1,2,0,77,3.8,No,Yes,59,63,
247,8.4,0,2,1,85,4.3,Yes,Yes,62,81,1.0
248,6.7,1,2,1,73,4.3,No,Yes,71,66,
249,6.5,1,1,0,70,4.7,No,Yes,79,64,
250,7.4,1,2,1,68,3.4,No,Yes,57,61,
251,8.4,2,3,1,76,4.1,Yes,Yes,68,64,
252,6.5,1,1,0,68,4.3,No,Yes,55,70,
253,6.6,1,2,1,82,4.4,Yes,Yes,74,82,
254,8.1,0,2,2,80,4.4,Yes,No,82,85,1.0
255,6.5,1,1,0,74,4.2,No,No,59,65,
256,8.5,1,3,2,75,4.5,Yes,Yes,75,84,
257,8.7,2,3,2,90,4.8,Yes,Yes,83,81,1.0
258,7.5,1,2,3,86,4.8,No,Yes,60,67,
259,8.1,2,3,2,90,4.8,Yes,Yes,86,88,1.0
260,8.2,1,3,1,83,4.1,Yes,Yes,77,83,
261,8.7,2,1,0,66,4.8,Yes,No,70,59,
262,6.6,0,1,2,72,4.2,No,Yes,86,88,1.0
263,8.1,0,2,3,78,4.1,Yes,Yes,81,78,1.0
264,6.5,1,3,0,80,3.7,No,No,59,66,
265,7.4,1,1,0,88,4.5,No,Yes,76,71,1.0
266,8.2,2,3,2,80,4.8,Yes,Yes,79,84,1.0
267,6.8,2,2,2,80,4.6,No,Yes,61,69,
268,8.0,1,2,1,76,4.5,No,Yes,68,75,
269,8.5,1,3,0,82,4.4,Yes,Yes,68,88,1.0
270,6.6,1,2,1,65,4.1,No,No,56,58,
271,8.4,1,2,0,79,3.8,No,Yes,60,64,
272,7.8,1,1,1,79,3.7,No,Yes,56,59,
273,7.7,1,2,0,81,3.8,Yes,Yes,65,59,
274,6.8,1,1,0,73,3.7,No,Yes,55,65,
275,7.3,1,2,1,71,4.7,No,No,59,57,
276,6.5,2,2,2,79,4.5,Yes,Yes,83,87,1.0
277,8.3,2,1,1,83,4.5,Yes,Yes,82,86,
278,7.3,1,2,1,79,3.8,No,Yes,58,73,
279,6.8,1,2,1,65,3.9,Yes,Yes,71,85,1.0
280,8.7,1,3,2,90,4.8,Yes,Yes,69,88,1.0
281,8.3,2,3,1,90,4.8,Yes,No,55,80,1.0
282,8.2,1,2,1,79,3.8,Yes,Yes,55,70,
283,8.2,1,1,2,86,4.4,No,No,76,82,
284,8.5,0,2,0,81,3.2,No,Yes,55,63,
285,8.0,0,1,1,87,3.8,No,Yes,55,71,
286,7.9,1,1,0,77,4.7,Yes,Yes,64,60,
287,7.7,1,1,2,82,4.4,No,No,55,70,
288,7.6,0,3,3,75,4.3,Yes,Yes,82,87,1.0
289,6.7,1,3,0,77,4.1,Yes,Yes,69,67,
290,8.5,0,2,2,75,4.5,Yes,No,76,83,1.0
291,8.8,1,2,2,90,4.8,Yes,No,75,88,1.0
292,6.5,2,3,1,82,4.6,Yes,No,83,63,
293,7.5,0,1,1,80,4.2,Yes,No,84,64,
294,7.7,2,3,2,78,4.6,Yes,Yes,78,83,
295,7.7,0,1,0,79,4.8,No,Yes,58,71,
296,8.6,1,1,2,84,4.3,Yes,Yes,57,82,1.0
297,7.5,0,2,0,69,3.6,No,No,61,59,
298,6.8,1,1,0,68,4.3,No,Yes,65,69,
299,8.1,0,3,2,90,4.8,Yes,Yes,69,84,
300,8.4,2,3,3,82,4.5,Yes,No,82,85,1.0
301,7.5,1,1,0,67,3.4,No,No,65,71,
302,8.1,1,3,0,70,4.8,Yes,No,71,72,
303,7.4,1,1,1,64,4.0,No,No,55,62,
304,8.4,2,3,2,80,4.6,Yes,Yes,72,79,1.0
305,8.2,0,3,2,90,4.8,Yes,Yes,79,80,1.0
306,8.0,1,2,1,80,4.3,No,Yes,71,61,
307,7.9,0,3,2,90,4.8,Yes,Yes,68,83,1.0
308,6.8,0,1,0,77,3.3,No,No,64,69,
309,8.3,2,3,2,82,4.6,Yes,Yes,76,85,1.0
310,7.4,1,2,1,75,4.3,No,Yes,55,85,
311,7.6,1,1,0,66,4.1,No,Yes,62,73,
312,8.5,2,3,1,90,4.8,Yes,Yes,78,82,
313,8.2,2,3,2,90,4.6,Yes,Yes,77,88,1.0
314,8.2,1,3,2,90,4.3,No,Yes,77,82,1.0
315,6.5,1,1,0,79,3.6,No,Yes,55,64,
316,7.5,1,1,2,82,4.5,Yes,Yes,77,84,1.0
317,7.5,1,2,1,85,4.1,No,Yes,71,84,
318,6.6,0,1,1,67,4.3,No,Yes,56,65,
319,7.6,1,1,1,88,4.5,Yes,Yes,83,86,1.0
320,7.5,1,1,1,81,4.5,Yes,Yes,64,68,
321,7.5,0,2,1,66,4.5,No,Yes,61,71,1.0
322,8.5,2,3,1,85,4.3,Yes,Yes,88,80,1.0
323,7.9,2,1,0,71,4.8,No,Yes,56,66,
324,8.2,0,2,0,85,4.1,Yes,No,57,70,
325,7.2,1,2,0,69,4.0,No,Yes,55,61,
326,8.6,2,3,2,90,4.8,Yes,Yes,75,84,1.0
327,6.5,1,1,1,78,3.9,No,Yes,67,73,1.0
328,8.7,1,3,0,86,4.5,Yes,Yes,77,81,1.0
329,7.8,1,2,0,78,4.8,Yes,Yes,75,65,1.0
330,7.7,1,1,0,80,4.0,No,Yes,55,66,
331,6.5,0,2,0,80,4.6,Yes,Yes,62,86,1.0
332,8.5,1,2,1,71,3.8,Yes,Yes,78,69,
333,7.4,2,3,0,86,4.6,Yes,Yes,75,72,1.0
334,8.6,1,3,2,81,4.8,Yes,Yes,71,82,1.0
335,8.0,1,2,1,88,3.6,No,Yes,69,69,
336,7.8,1,3,1,89,4.6,Yes,Yes,73,79,1.0
337,8.1,1,3,2,90,4.7,Yes,No,72,87,1.0
338,7.2,1,2,0,83,4.5,No,Yes,74,69,
339,8.4,2,3,2,87,4.8,Yes,Yes,78,88,1.0
340,8.4,0,3,2,85,4.6,Yes,Yes,90,79,
341,8.3,0,3,1,88,4.7,Yes,Yes,69,80,
342,7.2,0,2,1,66,3.9,No,No,67,69,
343,8.6,2,3,2,90,4.8,Yes,Yes,77,86,1.0
344,7.9,2,1,0,73,4.2,No,No,56,71,
345,6.6,1,1,2,81,4.8,Yes,No,68,71,
346,7.1,1,1,1,63,3.6,No,Yes,58,68,
347,7.8,0,3,0,90,4.7,Yes,Yes,72,69,1.0
348,6.6,1,1,1,81,4.0,No,No,73,72,
349,6.5,2,3,0,79,3.7,Yes,Yes,68,86,
350,7.5,2,1,0,83,4.6,Yes,No,58,81,
351,7.5,1,2,0,70,3.7,No,Yes,55,66,
352,7.8,0,2,2,74,4.6,Yes,Yes,58,60,
353,6.6,1,2,0,71,4.0,No,No,55,68,1.0
354,7.4,1,2,0,72,4.3,No,Yes,55,62,
355,7.8,1,3,2,77,4.2,Yes,No,77,82,
356,8.2,2,3,2,90,4.8,Yes,Yes,89,84,1.0
357,8.9,2,3,2,89,4.6,Yes,Yes,71,83,1.0
358,8.2,1,2,1,90,4.8,Yes,Yes,78,71,1.0
359,7.5,1,3,0,70,4.2,No,Yes,60,68,
360,7.7,1,2,0,68,3.9,No,Yes,62,63,
361,8.7,1,3,2,90,4.7,Yes,Yes,81,80,1.0
362,7.5,1,1,1,65,4.4,No,Yes,55,60,
363,6.6,1,1,1,82,3.7,No,Yes,55,60,1.0
364,7.4,2,3,1,84,4.8,No,Yes,77,68,1.0
365,7.5,0,3,2,90,4.8,Yes,Yes,82,81,1.0
366,8.2,1,1,1,79,4.6,No,Yes,55,61,
367,8.7,1,2,0,84,4.4,Yes,Yes,65,88,1.0
368,8.0,2,3,1,87,4.2,Yes,Yes,75,81,1.0
369,8.4,2,2,0,76,4.4,Yes,Yes,77,73,1.0
370,8.0,2,2,2,81,4.5,No,No,69,71,
371,7.5,1,2,2,70,4.7,Yes,Yes,55,70,
372,6.5,1,3,2,90,4.0,Yes,No,85,65,1.0
373,7.8,0,3,2,73,4.6,Yes,No,82,85,
374,7.6,1,2,0,64,4.5,No,Yes,62,63,
375,8.7,0,3,0,75,3.7,Yes,Yes,62,74,
376,7.2,1,1,0,85,3.5,No,Yes,84,70,
377,8.1,1,3,2,90,4.7,Yes,Yes,70,85,1.0
378,7.4,1,2,0,77,4.1,Yes,Yes,55,77,
379,8.2,2,2,2,81,4.8,Yes,Yes,78,83,1.0
380,8.2,2,1,2,90,4.8,Yes,Yes,79,68,1.0
381,6.5,1,2,1,65,4.0,Yes,Yes,66,69,
382,7.4,0,2,1,73,3.8,No,No,58,70,
383,7.3,0,1,1,80,3.6,No,Yes,62,65,
384,8.7,0,1,1,87,4.1,No,No,72,63,
385,8.5,2,1,3,82,3.6,Yes,Yes,67,81,
386,8.5,1,3,2,74,4.1,No,Yes,76,68,1.0
387,7.9,1,2,1,76,4.1,Yes,Yes,57,66,
388,7.4,2,3,0,71,4.8,Yes,Yes,86,73,
389,6.7,1,2,0,86,4.4,No,No,76,73,1.0
390,8.3,2,3,2,82,4.8,Yes,Yes,57,73,1.0
391,7.6,1,1,0,76,4.3,No,Yes,66,69,
392,7.5,1,2,0,90,4.2,No,Yes,77,64,1.0
393,8.9,0,3,0,89,4.8,Yes,No,77,78,1.0
394,7.3,1,1,0,79,4.1,Yes,No,57,64,
395,8.6,1,2,0,86,4.8,Yes,Yes,69,77,1.0
396,8.2,2,3,2,90,4.8,Yes,Yes,81,84,1.0
397,7.7,1,1,1,73,4.6,No,No,58,72,
398,7.9,1,3,0,88,4.7,Yes,Yes,87,85,1.0
399,7.4,1,1,1,87,4.6,No,Yes,68,65,
400,6.9,0,1,0,90,4.5,Yes,Yes,81,80,1.0
401,8.0,1,3,2,90,4.8,Yes,Yes,81,86,1.0
402,7.1,1,3,0,81,4.4,Yes,Yes,78,72,
403,6.9,0,1,1,76,3.8,No,No,61,67,
404,8.5,2,3,2,90,4.8,Yes,Yes,80,84,1.0
405,6.9,0,1,2,76,4.8,Yes,No,78,82,1.0
406,7.3,1,1,1,77,4.7,Yes,Yes,57,75,
407,7.8,2,3,0,89,4.6,No,Yes,71,68,
408,8.3,2,1,0,81,4.1,Yes,Yes,76,83,
409,8.6,1,3,2,83,4.4,Yes,Yes,71,83,1.0
410,8.6,2,3,0,87,4.8,No,No,75,66,
411,8.7,2,1,0,90,4.7,Yes,Yes,74,86,1.0
412,7.5,1,3,2,90,4.2,Yes,Yes,80,72,1.0
413,7.8,0,1,1,63,4.5,No,No,61,65,
414,6.5,0,1,0,71,3.4,No,Yes,59,67,
415,7.6,1,3,1,73,4.4,No,Yes,55,62,
416,6.5,1,1,1,80,3.8,Yes,Yes,58,65,
417,8.0,1,3,0,75,4.3,No,No,57,66,
418,8.0,2,3,0,86,4.8,Yes,Yes,73,82,1.0
419,7.5,1,1,0,67,4.2,Yes,Yes,57,70,1.0
420,7.8,1,3,0,78,4.4,No,Yes,77,70,1.0
421,7.3,1,1,1,75,3.6,No,Yes,55,66,
422,7.8,1,2,0,82,4.7,Yes,Yes,77,67,
423,6.5,1,1,1,82,3.4,No,No,56,66,
424,8.1,1,3,3,90,4.8,Yes,Yes,69,82,1.0
425,7.9,0,1,0,85,4.5,Yes,No,76,81,
426,8.7,1,3,0,74,4.6,Yes,Yes,86,83,1.0
427,7.1,2,2,0,76,4.0,No,Yes,55,69,1.0
428,8.9,1,3,2,81,4.8,Yes,No,82,81,1.0
429,8.3,0,3,0,75,4.2,Yes,No,77,69,
430,8.3,1,2,0,90,4.5,Yes,Yes,82,80,1.0
431,7.9,2,3,2,86,4.7,Yes,Yes,69,82,1.0
432,8.1,2,3,2,90,4.5,Yes,Yes,78,81,1.0
433,7.7,2,1,1,64,3.7,No,Yes,77,70,
434,8.1,2,3,2,85,4.5,Yes,Yes,76,88,1.0
435,7.8,1,3,0,81,4.3,No,No,64,70,
436,7.2,1,1,1,67,3.8,No,No,59,63,
437,8.4,1,1,2,84,4.8,Yes,Yes,82,68,1.0
438,8.4,2,3,2,90,4.8,Yes,Yes,82,86,1.0
439,8.2,1,1,0,76,4.2,No,Yes,55,62,
440,6.5,0,1,0,67,4.3,Yes,No,81,63,1.0
441,6.5,1,1,0,73,4.1,No,Yes,55,66,
442,8.3,2,3,2,90,4.8,Yes,Yes,74,83,1.0
443,8.2,0,3,2,78,4.5,No,Yes,88,84,1.0
444,8.1,1,2,2,76,4.5,Yes,Yes,79,81,1.0
445,6.5,1,1,1,60,3.8,No,No,56,62,
446,8.2,0,3,1,83,4.7,Yes,No,81,87,
447,7.7,1,3,1,75,4.6,Yes,Yes,74,63,
448,7.7,0,3,2,89,4.4,Yes,Yes,82,85,1.0
449,6.5,1,1,0,80,4.3,Yes,Yes,75,68,
450,8.3,2,3,2,87,4.8,Yes,Yes,74,80,
